Kilometers,Color,Car Brand,Model,Price,Engine,Vehicle Age
82000,Beyaz,Volkswagen,Polo,869900.0,1.6,6
260000,Beyaz,Renault,Clio,270000.0,1.4,24
361000,Gri (metalik),Volkswagen,Golf,340000.0,1.6,27
163000,Gri,Fiat,Linea,505000.0,1.3,12
48800,Beyaz,Fiat,Egea,775000.0,1.3,2
242000,Gri (Gümüş),Volkswagen,Golf,510000.0,2.0,19
275000,Beyaz,Volkswagen,Polo,295000.0,1.6,23
205000,Beyaz,Ford,Fiesta,650000.0,1.5,9
239000,Siyah,Renault,Fluence,513000.0,1.5,14
67000,Lacivert,Opel,Corsa,620000.0,1.4,9
170000,Beyaz,Renault,Clio,570000.0,1.5,6
234000,Gri (Gümüş),Volkswagen,Polo,590000.0,1.6,11
299000,Gri (Gümüş),Volkswagen,Golf,565000.0,1.6,12
199500,Beyaz,Ford,Focus,758500.0,1.5,7
144000,Gri (Gümüş),Opel,Corsa,410000.0,1.2,18
260000,Gri (titanyum),Audi,A4,745000.0,2.0,16
237000,Gri,Ford,Focus,345000.0,1.6,17
240000,Gri,Volkswagen,Polo,373500.0,1.4,23
189999,Kahverengi,Renault,Fluence,605000.0,1.6,14
97000,Gri (Gümüş),Opel,Corsa,505000.0,1.2,12
341000,Bordo,Toyota,Corolla,297000.0,1.3,0
88000,Beyaz,Citroen,C-Elysee,468000.0,1.6,6
125000,Gri (Gümüş),Opel,Astra,625000.0,1.3,13
140000,Füme,Opel,Astra,560000.0,1.3,14
210000,Bordo,Citroen,C4,400000.0,1.4,18
113500,Beyaz,Volkswagen,Golf,850000.0,1.4,12
203000,Beyaz,Renault,Fluence,575000.0,1.5,11
283500,Gri (Gümüş),Renault,Fluence,515000.0,1.5,12
322000,Mavi,Ford,Fiesta,330000.0,1.4,21
189000,Beyaz,Citroen,C-Elysee,515000.0,1.6,8
136000,Füme,Fiat,Egea,540000.0,1.3,5
83000,Kırmızı,Volkswagen,Golf,1050000.0,1.4,8
102000,Mavi,Volkswagen,Golf,875000.0,1.2,9
135000,Füme,Toyota,Corolla,590000.0,1.6,17
243000,Beyaz,Opel,Corsa,335000.0,1.3,20
400000,Bordo,Toyota,Corolla,260000.0,1.6,0
240000,Beyaz,Renault,Fluence,525000.0,1.5,11
58000,Füme,Fiat,Egea,630000.0,1.4,5
288000,Beyaz,Citroen,C5,550000.0,1.6,14
178000,Beyaz,Opel,Corsa,435000.0,1.3,16
33000,Füme,Volkswagen,Polo,964900.0,1.6,5
204000,Beyaz,Fiat,Linea,485000.0,1.3,10
197000,Siyah,Ford,Fiesta,515000.0,1.4,16
198000,Beyaz,Citroen,C4,385000.0,1.6,11
54000,Beyaz,Toyota,Corolla,890000.0,1.6,6
260000,Lacivert,Ford,Focus,410000.0,1.6,24
250000,Beyaz,Ford,Fiesta,395000.0,1.25,11
240000,Kırmızı,Volkswagen,Polo,265000.0,1.6,26
193000,Gri (Gümüş),Fiat,Linea,375000.0,1.3,14
152000,Beyaz,Volkswagen,Polo,540000.0,1.4,14
191500,Beyaz,Fiat,Linea,440000.0,1.3,10
320000,Mavi,Citroen,Saxo,210000.0,1.4,24
260000,Mavi (metalik),Volkswagen,Golf,515000.0,1.6,15
145000,Kırmızı,Opel,Corsa,490000.0,1.3,12
133500,Beyaz,Volkswagen,Polo,489000.0,1.2,12
162500,Füme,Opel,Corsa,515000.0,1.3,12
106500,Gri (Gümüş),Toyota,Corolla,810000.0,1.4,12
